strategy,capital_krw,instrument_count,avg_cash_ratio,max_cash_ratio,avg_achieved_instruments,min_achieved_instruments,missing_or_untradable_total,gate_avg_cash,gate_max_cash,lot_feasibility_pass,performance_fidelity_pass,overall_pass,tracking_error
kodex_kospi,10000000.0,1,0.001204932746875,0.00281813635,1.0,1,0,True,True,True,False,False,0.041020921616230326
kodex_kospi,30000000.0,1,0.000429977084375,0.0009023210500000001,1.0,1,0,True,True,True,False,False,0.041020921616230326
kodex_kospi,100000000.0,1,0.00012241109406249995,0.00025804728999999994,1.0,1,0,True,True,True,False,False,0.041020921616230326
kodex_200,10000000.0,1,0.001559669996875,0.0051925177,1.0,1,0,True,True,True,False,False,0.04282559934635562
kodex_200,30000000.0,1,0.0005444443781249999,0.00149743,1.0,1,0,True,True,True,False,False,0.04282559934635562
kodex_200,100000000.0,1,0.00015498365874999997,0.0004221195399999997,1.0,1,0,True,True,True,False,False,0.04282559934635562
kodex_kospi_kq150_split,10000000.0,2,0.001911154234375,0.0039146608,2.0,2,0,True,True,True,True,True,0.03662900410318135
kodex_kospi_kq150_split,30000000.0,2,0.0006090175124999999,0.00160711255,2.0,2,0,True,True,True,True,True,0.03662900410318135
kodex_kospi_kq150_split,100000000.0,2,0.00016746280843749997,0.0004444373800000001,2.0,2,0,True,True,True,True,True,0.03662900410318135
kodex_200_kq150_split,10000000.0,2,0.00238477069375,0.0052807253499999995,2.0,2,0,True,True,True,False,False,0.03479474180273337
kodex_200_kq150_split,30000000.0,2,0.0007621195562499998,0.0016302933999999998,2.0,2,0,True,True,True,False,False,0.03479474180273337
kodex_200_kq150_split,100000000.0,2,0.0002602430734374999,0.00043066935999999987,2.0,2,0,True,True,True,False,False,0.03479474180273337
