date,stock_code,label,target_weight
20180102,226490,KODEX KOSPI,0.8792716077011024
20180102,229200,KODEX KOSDAQ150,0.12072839229889767
20180504,226490,KODEX KOSPI,0.8839166908772428
20180504,229200,KODEX KOSDAQ150,0.11608330912275716
20180906,226490,KODEX KOSPI,0.8827975337457844
20180906,229200,KODEX KOSDAQ150,0.1172024662542156
20190114,226490,KODEX KOSPI,0.8947128100065381
20190114,229200,KODEX KOSDAQ150,0.10528718999346187
20190520,226490,KODEX KOSPI,0.889424922133495
20190520,229200,KODEX KOSDAQ150,0.110575077866505
20190919,226490,KODEX KOSPI,0.902564800204952
20190919,229200,KODEX KOSDAQ150,0.097435199795048
20200122,226490,KODEX KOSPI,0.9027032832011236
20200122,229200,KODEX KOSDAQ150,0.09729671679887643
20200527,226490,KODEX KOSPI,0.8734006536534844
20200527,229200,KODEX KOSDAQ150,0.12659934634651562
20200923,226490,KODEX KOSPI,0.8674184627760884
20200923,229200,KODEX KOSDAQ150,0.13258153722391167
20210128,226490,KODEX KOSPI,0.8838773036847198
20210128,229200,KODEX KOSDAQ150,0.11612269631528013
20210602,226490,KODEX KOSPI,0.8825040214144371
20210602,229200,KODEX KOSDAQ150,0.11749597858556288
20211005,226490,KODEX KOSPI,0.8699182183929566
20211005,229200,KODEX KOSDAQ150,0.1300817816070434
20220207,226490,KODEX KOSPI,0.8682528573487667
20220207,229200,KODEX KOSDAQ150,0.1317471426512333
20220610,226490,KODEX KOSPI,0.8740221386620216
20220610,229200,KODEX KOSDAQ150,0.12597786133797836
20221013,226490,KODEX KOSPI,0.8925306457183647
20221013,229200,KODEX KOSDAQ150,0.10746935428163527
20230213,226490,KODEX KOSPI,0.9238370204080553
20230213,229200,KODEX KOSDAQ150,0.07616297959194476
20230616,226490,KODEX KOSPI,0.9141203538128263
20230616,229200,KODEX KOSDAQ150,0.08587964618717371
20231020,226490,KODEX KOSPI,0.923856084201295
20231020,229200,KODEX KOSDAQ150,0.07614391579870508
20240222,226490,KODEX KOSPI,0.9132207836858185
20240222,229200,KODEX KOSDAQ150,0.0867792163141815
20240627,226490,KODEX KOSPI,0.9200280537904982
20240627,229200,KODEX KOSDAQ150,0.07997194620950182
20241101,226490,KODEX KOSPI,0.9268497735476241
20241101,229200,KODEX KOSDAQ150,0.07315022645237591
20250311,226490,KODEX KOSPI,0.922898853290837
20250311,229200,KODEX KOSDAQ150,0.07710114670916302
20250714,226490,KODEX KOSPI,0.9293072769727054
20250714,229200,KODEX KOSDAQ150,0.07069272302729454
20251117,226490,KODEX KOSPI,0.9322137166045923
20251117,229200,KODEX KOSDAQ150,0.06778628339540774
